Country Name,Country Code,,Pop,Electricity  
Greenland,GRL,"Population, total",56225,100
Grenada,GRD,"Population, total",112003,95.42874146
Guam,GUM,"Population, total",167294,100
Guatemala,GTM,"Population, total",16604026,95.72457123
Guinea,GIN,"Population, total",12771246,42.41838837
Guinea-Bissau,GNB,"Population, total",1920922,31.0404129
Guyana,GUY,"Population, total",782766,92.02169037
Haiti,HTI,"Population, total",11263077,45.37134552
Honduras,HND,"Population, total",9746117,92.77952576
"Hong Kong SAR, China",HKG,"Population, total",7507400,100
Hungary,HUN,"Population, total",9771141,100
Iceland,ISL,"Population, total",360563,100
India,IND,"Population, total",1366417754,97.81528473
Indonesia,IDN,"Population, total",270625568,98.85
"Iran, Islamic Rep.",IRN,"Population, total",82913906,100
Iraq,IRQ,"Population, total",39309783,100
Ireland,IRL,"Population, total",4934040,100
Isle of Man,IMN,"Population, total",84584,100
Israel,ISR,"Population, total",9054000,100
Italy,ITA,"Population, total",60302093,100
Jamaica,JAM,"Population, total",2948279,99.3837738
Japan,JPN,"Population, total",126264931,100
Jordan,JOR,"Population, total",10101694,100
Kazakhstan,KAZ,"Population, total",18513673,100
Kenya,KEN,"Population, total",52573973,69.7
Kiribati,KIR,"Population, total",117606,100
"Korea, Dem. People's Rep.",PRK,"Population, total",25666161,49.37275696
"Korea, Rep.",KOR,"Population, total",51709098,100
Kosovo,XKX,"Population, total",1788878,100
Kuwait,KWT,"Population, total",4207083,100
Kyrgyz Republic,KGZ,"Population, total",6456200,99.88175201
Lao PDR,LAO,"Population, total",7169455,100
Latvia,LVA,"Population, total",1913822,100
Lebanon,LBN,"Population, total",6855713,100
Lesotho,LSO,"Population, total",2125268,44.64067841
Liberia,LBR,"Population, total",4937374,27.64920998
Libya,LBY,"Population, total",6777452,68.53218842
Liechtenstein,LIE,"Population, total",38019,100
Lithuania,LTU,"Population, total",2794137,100
Luxembourg,LUX,"Population, total",620001,100
"Macao SAR, China",MAC,"Population, total",640445,100
Madagascar,MDG,"Population, total",26969307,26.9071846
Malawi,MWI,"Population, total",18628747,11.2
Malaysia,MYS,"Population, total",31949777,100
Maldives,MDV,"Population, total",530953,100
Mali,MLI,"Population, total",19658031,48.02124786
Malta,MLT,"Population, total",504062,100
Marshall Islands,MHL,"Population, total",58791,97.44360352
Mauritania,MRT,"Population, total",4525696,45.81206894
Mauritius,MUS,"Population, total",1265711,100
Mexico,MEX,"Population, total",127575529,100
"Micronesia, Fed. Sts.",FSM,"Population, total",113815,82.11694336
Moldova,MDA,"Population, total",2663251,100
Monaco,MCO,"Population, total",38964,100
Mongolia,MNG,"Population, total",3225167,99.12526703
Montenegro,MNE,"Population, total",622028,100
Morocco,MAR,"Population, total",36471769,99.6
Mozambique,MOZ,"Population, total",30366036,29.61616135
Myanmar,MMR,"Population, total",54045420,68.35665131
Namibia,NAM,"Population, total",2494530,55.19511795
Nauru,NRU,"Population, total",12581,100
Nepal,NPL,"Population, total",28608710,89.9
Netherlands,NLD,"Population, total",17344874,100
New Caledonia,NCL,"Population, total",287800,100
New Zealand,NZL,"Population, total",4979300,100
Nicaragua,NIC,"Population, total",6545502,88.21266937
Niger,NER,"Population, total",23310715,18.77472496
Nigeria,NGA,"Population, total",200963599,55.4
North Macedonia,MKD,"Population, total",2083459,100
Northern Mariana Islands,MNP,"Population, total",57216,100
Norway,NOR,"Population, total",5347896,100
Oman,OMN,"Population, total",4974986,100
Pakistan,PAK,"Population, total",216565318,73.91436005
Palau,PLW,"Population, total",18008,100
Panama,PAN,"Population, total",4246439,95.83455658
Papua New Guinea,PNG,"Population, total",8776109,63.46451187
Paraguay,PRY,"Population, total",7044636,100
Peru,PER,"Population, total",32510453,98.34660339
Philippines,PHL,"Population, total",108116615,95.62862396
Poland,POL,"Population, total",37965475,100
Portugal,PRT,"Population, total",10286263,100
Puerto Rico,PRI,"Population, total",3193694,100
Qatar,QAT,"Population, total",2832067,100
Romania,ROU,"Population, total",19366221,100
Russian Federation,RUS,"Population, total",144406261,100
Rwanda,RWA,"Population, total",12626950,37.78243637
Samoa,WSM,"Population, total",197097,99.2
San Marino,SMR,"Population, total",33860,100
Sao Tome and Principe,STP,"Population, total",215056,75.18190765
Saudi Arabia,SAU,"Population, total",34268528,100
Senegal,SEN,"Population, total",16296364,70.4
Serbia,SRB,"Population, total",6945235,99.8
Seychelles,SYC,"Population, total",97625,100
Sierra Leone,SLE,"Population, total",7813215,22.7
Singapore,SGP,"Population, total",5703569,100
Sint Maarten (Dutch part),SXM,"Population, total",40733,100
Slovak Republic,SVK,"Population, total",5454147,100
Slovenia,SVN,"Population, total",2088385,100
Solomon Islands,SLB,"Population, total",669823,70.25849152
Somalia,SOM,"Population, total",15442905,36.0331955
South Africa,ZAF,"Population, total",58558267,85
South Sudan,SSD,"Population, total",11062113,6.720535278
Spain,ESP,"Population, total",47133521,100
Sri Lanka,LKA,"Population, total",21803000,100
St. Kitts and Nevis,KNA,"Population, total",52834,100
St. Lucia,LCA,"Population, total",182790,99.54777527
St. Martin (French part),MAF,"Population, total",38002,100
St. Vincent and the Grenadines,VCT,"Population, total",110589,100
